date,sender,content,image
2023-12-18 17:04:02+00:00,-1001102021238,"https://youtu.be/5DBoEm-8kmA?si=LDLuEecNfULJVDzL   👈👈

በቀን አንዴ ብቻ የሚባለው የቢዝነስ አማካሪ 

በ 10,000 ብር ብቻ የተጀመረ ቢዝነስ እስከ ሚሊየኖች ያየገው የፕራግማ ኢንቨስትመንት መስራች መርድ ብስራት 

ብላክ ማርኬት ዋጋ ማነው ሚተምነው ?

ኢትዮጵያ ውስጥ ቢዝነስ ለመጀመር ጥሩ ሰአት ነው ወይ ??

3 ቢዝነስ ስንጀምር የምንሰራው ስህተቶች !

አሁኑኑ ይመልከተቱ  👇👇

https://youtu.be/5DBoEm-8kmA?si=LDLuEecNfULJVDzL",N/A
2023-11-03 16:14:39+00:00,-1001102021238,"ዶክተርስ ኢትዮጵያ በ አዲስ አቀራረብ በ ቴሌቪዥን ፕሮግራሙን ለመጀመር ከፋተኛ ዝግጅት በማድረግ ላይ ይገኛል ።

ዩሃንስ ግርማ ጆኒ ( በ ቲክቶክ ከ 500,000) በላይ ተከታይ ያገኘው ከ አሜሪካ ወደ ኢትዮጵያ 
ገንዳ ውስጥ ከመተኛት እስከ ከፋተኛ ተከፋይ በኢትዮጵያ ( 1 take production ) በመባል የሚታወቀው ዩሃንስ ግርማ ( ጆኒ) 

ከዲፕሬሽን እስከ ታዋቂነትን ያተረፈው ጆኒ 

አሁኑኑ ይመልከቱ 👇

https://youtu.be/gwVN5eJQpko?si=xARsSxIEdZtE91GY",N/A
2023-10-02 16:37:39+00:00,-1001102021238,"ሞት በስኳር 

ለልጆቻችን የምናሲዘው ምሳቃ ሳናቀው እድሚያቸውን ይቀንሰው ይሆን 

የታሸገ ትክክለኛ ጁስ ኢትዮጵያ ውስጥ የለም...!

ሁሉም ወላጅ ሊያየው የሚገባ

የታሸጉ ጁሶች መጠጣት እራስን ለከፍተኛ ጉዳት እስከ ሞት ድረስ ማጋለጥ ነው !

ለሁሉም ኢኮኖሚ ጤናንም የሚጠብቅ አመጋገብ የቱ ነው??

https://youtu.be/oHiSRrNF7I0?si=Absgm414YSt_kjNq",N/A
2023-09-16 07:54:32+00:00,-1001102021238,"ከ HIV የተፈወሰ ሰው አጋጥሟችሁ ያቃል ? ፈውስ እና ህክምና ?

ሙሉ ቪዲዮውን ተመልክተው ሃሳብ አስተያየቶን ያካፍሉን 👇👇👇👇

https://youtu.be/tTeErZxIh_Q?si=jKHyfWcC3sfXbC8L",N/A
2023-09-01 16:16:15+00:00,-1001102021238,"በቅርብ ጊዜ በሃገራችን ላይ እየተስተዋለ ያለ የተመሳሳይ ፆታ ( Homosexuality ) ግብረ ሰዶም በተለያዩ ቦታዎች ላይ እየታየ ይገኛል

ይህም አጥብቀን ምንቃወመው ጉዳይ ሲሆን 

- ይህ ችግር በህምና ይለያል ወይ ?
- ቅድመ ምልክት አለው ወይ ?

ወላጆች ልጆቻችሁን እንዴት መጠበቅ ትችላለቹ ህክምናስ አለው ወይ ??

በምንመገበው ምግብ ሊቀይሩየን ይችላሉ ወይ ? 

አሁኑኑ ገብተው ሙሉ ቪዲዮውን ይመልከቱ !

https://youtu.be/0k65P5ouw7s?si=qaUgo75bUa3AMQxD",N/A
2023-08-29 17:20:05+00:00,-1001102021238,"👇👇👇👇👇👇 https://youtu.be/-AR1KO2DbFw?si=47cXLZtlmhx1Nlqc  
**
ዶክተርስ ኢትዮጽያ በአዲስ ፕሮገራም ጀመረ**

ማረጥ  (**ሜኖፖዝ ) ጋር ተያይዞ የሚመጣ ሴቶች ላይ የሚከሰት የጤና ችግሮች**

**ሴቶች ላይ የሚከሰት የ ግብረስጋ ግንኙነት ስሜት መቀነስ ?**


**የሴቶች የወር አበባ ግዜ እና ሌሎችም ጉዳዮች ተነስተዋል አሁኑኑ ይመልከቱ !!
**

**ከ ቴሌቪዥን ፕሮግራሞቻችን በተጨማሪ አዲስ በልዩ አቀራረብ ይበልጥ የናንተን የተመልካች ጥያቄ ለመመለስ **

ይህን የመሰለ ፕሮግራም ይዘን መተናል 


የጤና ጥያቄዎን ለመላክ @doctorsEt 


https://youtu.be/-AR1KO2DbFw?si=47cXLZtlmhx1Nlqc",N/A
2022-08-02 17:42:08+00:00,-1001102021238,"ክረምቱን ስፖርት መስራት አስበው ጂም ለመግባት ካልቻሉ ባሉበት ቦታ ሆነው

እነዚህን እንቅስቃሴዎች በማድረግ በ አጭር ግዜ ውስጥ ለውጥ ማምጣት ይችላሉ 

እቤትዎ ሆነው ጠዎት ወይንም ማታ ላይ በ 5 ደቃቃ ውስጥ ብቻ 

- የጎን ቦርጭ(ስብ) ለማጥፋት 
- ቀንዎን በንቃት ለመጀመር 

እነዚህን እንቅስቃሴዎች ያድርጉ 
ለሁሉም እድሜ ክልል የሚሆን እንቅስቃሴ ስለሆነ ከ ቤተሰቦ ጋር መስራት ይችላሉ !!

ሊንኩን በመጫን ይመልከቱ / ዶክተርስ ኢትዮጵያ 
👇👇👇👇👇
https://youtu.be/0uiTzjEbh90",N/A
2022-06-12 17:15:47+00:00,-1001102021238,"ስፖርት የመስራት ሱስ ይኖር ይሆን?

በአሁኑ ወቅት ብዙ የስፖርት መስሪያ ቦታዎች ተጨናንቀው ይታያል

ስፖርት መስራት ለጤና ጠቃሚ ቢሆንም እንዳንድ ግዜ ግን ከዛ በላይም አልፎ ስፖርት ካልሰራው ዲፕሬሽን ውስጥ ገባለው / ሰውነቴ ይበላሻል የሚሉ ሰዎችም አሉ!

ሱስ ማለት ራስን ለ ሆነ ነገር ተገዢ ማድረግ ነው! 

   ስለዚህ ስፖርት መስራት እውነት ሱስ ይሆን?

👇👇👇 ሙሉ ቪዲዮውን በ ዮቲውብ ይመልከቱ 

 ስፖርት ቤት (ጂም) ለሚያበዙ ሁሉ ሼር ያድርጉ!
👇👇👇
https://youtu.be/WPlRuRtQXN8",N/A
2022-05-31 17:51:13+00:00,-1001102021238,"ድንገተኛ አደጋ / የአጥንት ስብራት

አያርገውና ድንገተኛ የሆነ አደጋ ቢደርስቦ ምን ማድረግ እንዳለቦ ያቃሉ?

በሃገራችን የመኪና አደጋ በ ከፍተኛ ደረጃ አየጨመረ እና የብዙ ሰዎችን ሂወት እየቀጠፈም ይገኛል ።

በሃገራችን ያለውም ወቅታዊ ሁኔታም ጦርነቶች ብዙ ሰዎችን ለ ድንገተኛ የሆነ አደጋዎች : ስብራቶች ያጋልጣል።

ዶ/ር ቃልቂዳን (አጥንት ስፔሻሊስት ሃኪም) ስለ ድንገተኛ አደጋ እና ስብራቶች አብራርቶልናል

እርሶም ይህ ችግር ቢደርስቦ ማድረግ ያለቦትን ነገር ቀድመው ይወቁ 

**ዶክተርስ ኢትዮጵያ በ አዳዲስ ፕሮግራሞችና የናንተን ጥያቄዎች በሶሻል ሚዲያ መልስ የሚያገኙበትን መንገድ እያስተካከልን ሲሆን ከ ትንሽ የ እረፍት ግዜያት በኋላ በ ቴሌቪዥን ፕሮግማችን በ ፋና ቴሌቪዥን ያገኙናል**

ከታች ያለውን በመጫን ይመልከቱ!
👇👇👇👇👇👇👇
https://youtu.be/QI-8oqW80uI",N/A
2022-05-20 18:04:53+00:00,-1001102021238,"ከትንሽ ግዚያት በፊት ስፖርት መስራት እንደ ቅንጦት ይታይ ነበር አሁን ላይ ግን በ ስፖርት መስራያ ቦታዎች ላይ ብዙዎች ሲሰሩ ይታያል

ይህንንም ተከትሎ ስፖርት ማወቅ ያለብን በጣም አስፈላጊ ነገር አለ!

ብዙ ሰው አንድ አመት ያህል ሰርቻለው ለውጥ ምንም የለኝም ! ስፖርት ጥቅም የለውም ይላል

እኛ ምን መስራት እንዳለቦት ሚስጥሩን እንንገሮት!
  ከዚ በኋላ ጊዜዎን ሳያባክኑ በአጭር ግዜ ውስጥ 
ለውጦን ያያሉ።

በዚህ ዮቲውብ ቪዲዮ ላይ 

ምን መስራት እንዳለቦት ለ ጀማሪ እንዲሁም በመስራት ላይ ላላቹ 

አጭር ቪዲዮ ይመልከቱ
👇👇👇👇👇👇
https://youtu.be/_IEWt07bECg",N/A
2022-05-15 15:59:10+00:00,-1001102021238,"**ልጆች ላላችሁ / አባት እናት ወይንም እህት ወንድም / በቅርቡ ልጅ ለመውለድ የምታስቡ / ባሁኑ ሰአት እርግዝና ላይ ላላችሁ ።**

ልጆች አንዳንድ ግዜ ምግብ አልመገብ ይላሉ  ይህ ደግሞ ለወላጅ በጣም አስጨናቂ ነገር ነው !

ህፃናት ምግብ አልመገብ የሚሉት በምን ምክንያት ይሆን ?

**ህፃናት  ከተወለዱ 1 ሰዐት ጀምሮ የእናት ጡት ወተትን ማግኘት አለባቸው : የእናት ጡት ወተትን የሚወስዱ ልጆች ወደፊት የመወፈር እድላቸው በበሽታ የመጠቃት እድላቸው አነስተኛ ነው ።

ህፃናት ስድስት ወር ሲሞላቸው ተጨማሪ ምግብ መመገብ ሲፈልጉ አንዳንድ ምልክቶችን ያሳያሉ።

ህፃናት የምግብ መመገብ ፍላጎታቸው ለምን ይቀንሳል ? 

ዶ/ር ኤልሳቤጥ ለዚህ መልስ ይህን ትለናለች
**
**በ ዮቲውብ ቻናላችን ላይ የ ዶ/ርን ስልክ ያስቀመጥን ሲሆን በ ግል ለማማከር መደወል ትችላላችሁ ።
**
👇👇👇👇

https://youtu.be/V6zWVHcyFXI",N/A
2022-05-07 18:22:14+00:00,-1001102021238,"**በብዙ ማህበራዊ ሚዲያዎች በ ከፋተኛ ሁኔታ እየተሸጠ ያለው 

ፕሮቲን- ክሬቲን ፖውደሮች እና  ሌሎች ያወፍራል ተብለው የሚሸጡ ፓውደሮች እውነት ጥቅም አላቸው ወይ ?**

**ምን አልባት ለልጆ መግዛት አስበው ይሆናል ? 

ወይም ባሁኑ ሰአት ገዝተው እየተጠቀሙም ይሆናል ? 

ወይንም ደግሞ ለመግዛት አስበው የትኛው ፖውደር ልጠቀም እያሉ ነው ?

በዚህ ቪዲዮ ሙሉ መልሱን መልሰናል !!!
**
**ሁሉም ሰው መውሰድ ይችላል ወይ ?

እድሜስ ገደብ አለው ወይ ??**

**ለ ኩላሊት ህመምስ ያጋልጣል ወይ ?

ውሃ በደንብ ጠጡ ለምን ተባለ ?**

እነዚህን ዋና ነገሮች ላይ መልስ ሰጠናል አሁኑኑ ይመልከቱ !

እርሶ ባይጠቀሙ ሌላ ቤተሰቦ ሊጠቀም ስለሚችል ሼር በማድረግ ለሁሉም ሰው እናድርስ


ከዚህ በፊት እነዚህን ፓውደሮች የሚጠቀሙ ከሆነ 
ልምዶን በ ዮቲውብ ኮሜንት ላይ ያስቀምጡልን 

👇👇👇👇👇👇👇👇👇👇👇👇👇👇
ተጭነው ይመልከቱ
https://youtu.be/43t6CLizU28",N/A
2022-05-06 17:51:05+00:00,-1001102021238,N/A,scraped_images\photo_2024-10-12_18-13-55.jpg
2022-05-06 17:51:05+00:00,-1001102021238,N/A,scraped_images\photo_2024-10-12_18-13-56.jpg
2022-05-06 17:51:05+00:00,-1001102021238,N/A,scraped_images\photo_2024-10-12_18-13-58.jpg
2022-05-06 17:51:05+00:00,-1001102021238,"ዛሬ ምሽት 3:30 በ ፋና ቴሌቪዥን 

    ስለ ፕሮቲን : ክሬቲን ፓውደሮች ምን ማወቅ ይፈልጋሉ?

ባሁኑ ሰአት በ ማህበራዊ ሚዲያ በ ከፋተኛ ሁኔታ እየተሸጡ የሚገኙ እነዚህ ፖውደሮች 
እውነት ለ ኩላሊት ህመም ያጋልጣሉ ወይ?

በተጨማሪም እቤቶ ሆነው እነዚህን እንቅስቃሴዎች  በማድረግ ጤናዎን ይጠብቁ።

ስፖርት ሱስ ይሆናል ወይ ? መልሱን በ ፋና ቴሌቪዥን ይጠብቁን።

3:30 በ ፋና ቴሌቪዥን",scraped_images\photo_2024-10-12_18-14-00.jpg
2022-05-01 11:13:33+00:00,-1001102021238,"ከሳምንት በፊት በለቀቅነው ቦርጭን በህክምና እንዴት ማጥፋት ይቻላል በሚለው ርእሳችን 
ከ 100,000 በላይ እይታን አግኝቷል ።

ስለሆነም ቦርጭን ከምናጠፋበት ዋና መንገዶች ዋና አማራጭ የሆነው ስፖርታዊ እንቅስቃሴ ሲሆን

እቤት ውስጥ ሆነን እነዚህን ቀለል ያሉ ስፖርታዊ እንቅስቃሴዎችን በማድረግ ቦርጭን ማጥፋት ይችላሉ

አሁን በ ዮቲውብ ቻናላችን በመሄድ 

ISSA certified personal Trainer 
  ትንሳይ ብርሃኑ ጋር ቆይታ አድርገናል።

በቀላሉ ቦርጭን ያጥፉ 

ቦሌ ቡልቡላ ማሪያም ማዞሪያ 
ፐልስ ፊትነስ ጂምናዚየም በመምጣት አብረውን መስራት ይችላሉ 



https://youtu.be/zZCUggh-1DA",N/A
2022-04-29 18:59:05+00:00,-1001102021238,N/A,scraped_images\photo_2024-10-12_18-14-01.jpg
2022-04-29 18:57:35+00:00,-1001102021238,N/A,scraped_images\photo_2024-10-12_18-14-03.jpg
2022-04-28 05:46:38+00:00,-1001102021238,N/A,scraped_images\photo_2024-10-12_18-14-03 (1).jpg
2022-04-28 05:46:38+00:00,-1001102021238,N/A,scraped_images\photo_2024-10-12_18-14-05.jpg
2022-04-28 05:46:38+00:00,-1001102021238,N/A,scraped_images\photo_2024-10-12_18-14-06.jpg
2022-04-28 05:46:38+00:00,-1001102021238,"ሃያት ሆስፒታል ሜዲካል ኮሌጅ 

 ህክምና ለማግኘት አስበዋል ?
የት መሄድስ እንዳለቦት ግራ ገብቶት ይሆን?

ሃያት ሆስፒታል በ አዲስ አስተዳደር እና ንፅህናውን በጠበቃው ሆስፒታላችን በ ከፋተኛ ስፔሻሊስት ሃኪሞቻችን  ለናንተ ልዮ የሆነ የጤና አገልግሎት ለመስጠት በራችን ክፍት መሆኑን እያሳወቅን። 

ማንኛውም አይነት የጤና አገልግሎት እኛ ጋር ያገኛሉ ።

ይምጡ እና እንማከር
ቦሌ ሞኤንኮ ፊት ለ ፊት ያገኙናል",scraped_images\photo_2024-10-12_18-14-07.jpg
